,average_price_per_area,price,area,bedrooms,airconditioning,bathrooms,guestroom,prefarea,furnishingstatus
0,270.39555006180467,3500000,12944,3,0,1,0,0,0
1,318.1818181818182,2450000,7700,2,0,1,0,0,0
2,350.0,3150000,9000,3,0,1,0,0,1
3,368.42105263157896,3500000,9500,3,0,1,0,1,0
4,373.04347826086956,3003000,8050,2,0,1,0,0,0
5,379.84496124031006,4900000,12900,3,0,1,0,0,0
6,380.96153846153845,5943000,15600,3,1,1,0,0,1
7,381.1111111111111,3087000,8100,2,0,1,0,0,0
8,401.47058823529414,2730000,6800,2,0,1,0,0,0
9,415.5405405405405,4305000,10360,2,0,1,0,1,1
10,421.3207547169812,2233000,5300,3,1,1,0,1,0
11,444.44444444444446,2940000,6615,3,0,1,0,0,1
12,447.85276073619633,5110000,11410,2,0,1,0,1,0
13,450.0,3780000,8400,2,0,1,0,0,0
14,454.5454545454546,1750000,3850,3,0,1,0,0,0
15,457.3333333333333,3773000,8250,3,0,1,0,0,0
16,457.9107505070994,4515000,9860,3,0,1,0,0,1
17,464.84375,4760000,10240,2,1,1,0,1,0
18,466.6666666666667,3150000,6750,2,0,1,0,0,1
19,471.02803738317755,5040000,10700,3,0,1,1,0,1
20,471.4439655172414,3500000,7424,3,0,1,0,0,0
21,476.19047619047626,3500000,7350,2,0,1,0,0,1
22,478.3333333333333,2870000,6000,2,0,1,0,0,1
23,483.4254143646409,1750000,3620,2,0,1,0,0,0
24,485.1485148514852,3920000,8080,3,1,1,0,0,1
25,485.1556842867487,4690000,9667,4,0,2,1,0,1
26,502.56410256410254,2940000,5850,3,0,1,0,0,0
27,506.198347107438,2450000,4840,2,0,1,0,0,0
28,508.2424242424242,4193000,8250,3,0,1,0,0,1
29,511.24744376278124,5250000,10269,3,0,1,0,1,1
30,512.478184991274,5873000,11460,3,0,1,0,1,1
31,517.9501233214579,1890000,3649,2,0,1,0,0,0
32,519.3104953087498,4760000,9166,2,1,1,0,0,1
33,525.0,6930000,13200,2,0,1,0,0,0
34,531.4814814814815,2870000,5400,4,0,1,0,0,0
35,533.3333333333334,5600000,10500,4,0,2,0,0,1
36,533.3333333333334,5600000,10500,2,0,1,0,0,1
37,535.7142857142857,5250000,9800,4,0,2,1,0,1
38,538.3109619686801,3850000,7152,3,1,1,0,0,0
39,539.9449035812672,3920000,7260,3,0,2,1,0,0
40,541.6666666666666,4550000,8400,4,0,1,0,0,0
41,542.9042904290429,3290000,6060,3,0,1,1,0,0
42,543.030303030303,4480000,8250,3,0,1,0,0,0
43,544.4444444444445,3773000,6930,4,0,1,0,0,0
44,548.5576923076923,2852500,5200,4,0,1,0,0,0
45,549.5495495495495,4270000,7770,2,0,1,0,0,0
46,559.5238095238095,3290000,5880,3,0,1,0,0,0
47,561.6211745244003,6790000,12090,4,0,2,0,1,0
48,564.7727272727273,2485000,4400,3,0,1,0,0,0
49,569.4267515923567,3129000,5495,3,0,1,0,0,0
50,573.0478589420655,2275000,3970,1,0,1,0,0,0
51,573.0478589420655,2275000,3970,3,0,1,0,0,0
52,573.0994152046784,1960000,3420,5,0,1,0,0,0
53,588.6363636363636,2590000,4400,2,0,1,0,0,0
54,591.9753086419753,4795000,8100,4,1,1,0,0,1
55,592.741935483871,2940000,4960,2,0,1,0,0,0
56,592.9866036249015,3010000,5076,3,0,1,0,0,0
57,593.2203389830509,3500000,5900,2,0,1,0,0,0
58,595.2380952380952,3500000,5880,2,0,1,0,0,0
59,600.0,4200000,7000,3,0,1,0,0,0
60,601.3745704467354,1750000,2910,3,0,1,0,0,0
61,606.6666666666666,1820000,3000,2,0,1,0,0,0
62,610.738255033557,3640000,5960,3,0,1,1,0,0
63,614.1104294478528,5005000,8150,3,0,2,1,0,1
64,615.7407407407408,3990000,6480,3,1,1,0,0,1
65,616.1971830985915,5250000,8520,3,1,1,0,0,0
66,616.2790697674419,3710000,6020,3,0,1,0,0,1
67,620.4013377926422,1855000,2990,2,0,1,0,0,0
68,620.9677419354839,3080000,4960,2,1,1,0,0,0
69,625.0,5250000,8400,3,1,1,1,1,0
70,625.0,2100000,3360,2,0,1,0,0,0
71,626.3982102908277,7000000,11175,3,1,1,0,1,0
72,626.5432098765432,10150000,16200,5,0,3,0,0,0
73,630.0,6615000,10500,3,1,2,0,1,0
74,632.3284823284823,6083000,9620,3,0,1,0,1,0
75,636.8421052631579,4235000,6650,3,0,1,1,0,1
76,641.8706293706293,7343000,11440,4,0,1,0,1,1
77,644.2307692307693,2345000,3640,2,0,1,0,0,0
78,644.7368421052631,5145000,7980,3,0,1,0,1,1
79,646.6302367941712,4970000,7686,3,0,1,1,0,1
80,648.3704974271012,3780000,5830,2,0,1,0,0,0
81,651.3157894736842,3465000,5320,2,0,1,0,1,0
82,651.5957446808511,3675000,5640,2,0,1,0,0,1
83,651.7241379310345,2835000,4350,3,0,1,0,0,0
84,654.3478260869565,3010000,4600,2,0,1,0,0,0
85,662.4484181568088,2408000,3635,2,0,1,0,0,0
